DateTime,Site_Name,TotalFiles,TotalLocalStorage,TotalWebSQL,TotalIndexedDB,LST_set_FuD,LST_set_IfS,LST_set_For,LST_set_Whi,LST_set_DoW,LST_set_Swt,LST_set_Try,LST_set_Var,LST_set_FuE,LST_set_Blo,LST_set_Tot,LST_set_ToS,LST_get_FuD,LST_get_IfS,LST_get_For,LST_get_Whi,LST_get_DoW,LST_get_Swt,LST_get_Try,LST_get_Var,LST_get_FuE,LST_get_Blo,LST_get_Tot,LST_get_ToS,LST_rmv_FuD,LST_rmv_IfS,LST_rmv_For,LST_rmv_Whi,LST_rmv_DoW,LST_rmv_Swt,LST_rmv_Try,LST_rmv_Var,LST_rmv_FuE,LST_rmv_Blo,LST_rmv_Tot,LST_rmv_ToS,WSQ_exe_FuD,WSQ_exe_IfS,WSQ_exe_For,WSQ_exe_Whi,WSQ_exe_DoW,WSQ_exe_Swt,WSQ_exe_Try,WSQ_exe_Var,WSQ_exe_FuE,WSQ_exe_Blo,WSQ_exe_Tot,WSQ_exe_ToS,WSQ_upd_FuD,WSQ_upd_IfS,WSQ_upd_For,WSQ_upd_Whi,WSQ_upd_DoW,WSQ_upd_Swt,WSQ_upd_Try,WSQ_upd_Var,WSQ_upd_FuE,WSQ_upd_Blo,WSQ_upd_Tot,WSQ_upd_ToS,WSQ_del_FuD,WSQ_del_IfS,WSQ_del_For,WSQ_del_Whi,WSQ_del_DoW,WSQ_del_Swt,WSQ_del_Try,WSQ_del_Var,WSQ_del_FuE,WSQ_del_Blo,WSQ_del_Tot,WSQ_del_ToS,IDB_add_FuD,IDB_add_IfS,IDB_add_For,IDB_add_Whi,IDB_add_DoW,IDB_add_Swt,IDB_add_Try,IDB_add_Var,IDB_add_FuE,IDB_add_Blo,IDB_add_Tot,IDB_add_ToS,IDB_get_FuD,IDB_get_IfS,IDB_get_For,IDB_get_Whi,IDB_get_DoW,IDB_get_Swt,IDB_get_Try,IDB_get_Var,IDB_get_FuE,IDB_get_Blo,IDB_get_Tot,IDB_get_ToS,IDB_geA_FuD,IDB_geA_IfS,IDB_geA_For,IDB_geA_Whi,IDB_geA_DoW,IDB_geA_Swt,IDB_geA_Try,IDB_geA_Var,IDB_geA_FuE,IDB_geA_Blo,IDB_geA_Tot,IDB_geA_ToS,IDB_del_FuD,IDB_del_IfS,IDB_del_For,IDB_del_Whi,IDB_del_DoW,IDB_del_Swt,IDB_del_Try,IDB_del_Var,IDB_del_FuE,IDB_del_Blo,IDB_del_Tot,IDB_del_ToS
2019-02-04 6:00:18,mofcom.gov.cn,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:50:54,mofos.com,11,8,0,117,1,3,0,0,0,0,2,0,6,0,3,12,0,4,0,0,0,0,0,0,4,0,2,8,1,5,0,0,0,0,3,0,6,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,7,0,0,0,4,3,84,0,44,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 6:00:34,mogujie.com,6,30,0,150,3,8,0,0,0,0,0,4,61,0,18,76,3,7,0,0,0,0,0,11,27,0,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,4,0,0,0,4,10,71,0,35,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:45:30,moj.go.jp,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:45:35,mojang.com,2,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,2,0,0,0,4,43,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:45:36,mojevideo.sk,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 6:00:55,mojtv.hr,30,4,0,164,2,1,0,0,0,0,3,0,4,0,3,10,1,0,0,0,0,0,1,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,1,0,0,0,0,15,142,0,54,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:45:37,moluch.ru,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:46:06,momjunction.com,20,2,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,7,0,0,3,3,5,134,0,52,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:52:00,momondo.ru,14,64,0,495,11,6,0,0,0,0,23,4,73,0,42,117,8,5,0,0,0,0,13,1,18,0,12,45,5,0,0,0,0,0,13,0,16,0,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,76,5,3,0,0,2,29,277,0,133,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:46:06,moneta.co.kr,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:29:38,monetaonline.it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:29:42,monetizze.com.br,3,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,2,0,0,0,3,29,0,15,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 6:00:56,money-i.club,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 6:00:59,moneycontrol.com,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:46:22,moneysavingexpert.com,19,33,0,484,5,11,0,0,0,0,2,8,26,0,15,52,2,4,0,0,0,0,1,12,22,0,13,41,2,4,0,0,0,0,2,2,8,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,3,0,0,0,1,5,64,0,28,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:30:32,moneysupermarket.com,13,83,0,820,10,14,1,0,0,0,18,2,67,0,36,112,9,10,1,0,0,0,4,16,59,0,28,99,2,12,1,0,0,0,11,4,33,0,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,116,12,0,1,2,14,27,475,0,173,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:46:23,mongodb.com,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 5:31:22,monitor.co.ug,28,16,0,300,2,1,0,0,0,0,4,1,10,0,6,18,2,1,0,0,0,0,1,1,8,0,4,13,2,1,0,0,0,0,3,2,13,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,67,11,0,0,1,9,43,306,0,120,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 6:01:17,monkamovies.com,12,11,0,136,0,0,0,0,0,1,2,0,6,0,3,9,0,0,1,0,0,1,0,3,9,0,5,14,0,0,0,0,0,1,2,0,6,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,3,5,53,0,25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
